peak_pos,weeks,rank,genre,pop,dance pop,pop rap,rap,post-teen pop,hip hop,r&b,contemporary country,southern hip hop,country,country road,urban contemporary,trap music,hip pop,dirty south rap,pop rock,modern country rock,gangster rap,neo mellow,neo soul,post-grunge
41,5,41,['rap'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,31,"['pop rap', 'rap']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,22,"['dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,23,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4,93,"['contemporary country', 'country road']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,7,20,"['pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,7,"['dance pop', 'indie r&b', 'pop', 'r&b', 'urban contemporary']",1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,11,54,"['canadian pop', 'pop', 'rap']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,43,"['dance pop', 'hip pop', 'pop', 'pop rap', 'rap']",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,1,69,"['hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,14,25,"['dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,19,64,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,9,68,['trap music'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,4,71,['k-pop'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,47,"['hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,67,"['hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,62,"['hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,10,48,"['contemporary country', 'country', 'country road']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,21,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,25,26,"['contemporary country', 'country road']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,18,46,"['electropop', 'pop']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,15,76,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
86,3,86,"['contemporary country', 'country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
19,3,28,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,22,51,['pop'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13,16,"['canadian pop', 'pop', 'viral pop']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12,72,"['drill', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
73,1,73,"['hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,65,"['conscious hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,84,"['contemporary country', 'country road']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,5,6,['rap'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6,63,['contemporary country'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,21,15,"['pop', 'post-teen pop']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26,19,"['dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,46,35,['pop'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,1,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,9,"['dance pop', 'pop', 'post-teen pop']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,13,45,"['contemporary country', 'country road']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
42,7,77,['trap music'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,42,17,['pop'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18,33,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
39,1,39,"['hip hop', 'pop', 'pop rap', 'rap']",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15,52,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,57,"['contemporary country', 'country road', 'modern country rock']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
50,19,98,"['contemporary country', 'country road']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
56,13,56,"['indie pop', 'indietronica', 'la indie', 'modern rock']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,14,32,['contemporary country'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,12,"['hip hop', 'pop rap', 'rap']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,85,"['pop rap', 'rap']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,22,29,['pop'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20,21,"['modern rock', 'vegas indie']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,10,53,"['contemporary country', 'country', 'country road']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
8,2,40,"['pop rap', 'rap']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,20,61,"['contemporary country', 'country', 'country road']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
79,2,79,"['boy band', 'pop', 'post-teen pop']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,14,82,['alternative metal'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,89,"['alternative rock', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,1,28,"['pop rap', 'rap']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,4,93,['trap music'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,1,81,"['contemporary country', 'country road']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
